Date,Open,High,Low,Close,Volume
2019-11-14,3230.16,3274.91,3162.28,3207.84,39847460864
2019-11-13,3220.28,3269.08,3180.37,3229.9,37501579264
2019-11-12,3197.6,3262.83,3159.63,3221.03,42171187200
2019-11-11,3266.58,3294.1,3153.18,3196.56,41212293120
2019-11-10,3181.73,3297.01,3162.49,3265.92,44371570688
2019-11-09,3156.3,3214.31,3137.4,3181.09,37381115904
2019-11-08,3287.77,3309.99,3111.88,3155.99,48976855040
2019-11-07,3324.06,3384.91,3213.72,3287.66,47559147520
2019-11-06,3258.74,3343.67,3226.5,3310.62,48710844416
2019-11-05,3255.38,3330.85,3209.24,3288.88,53770350592
2019-11-04,3180.51,3282.69,3151.72,3255.05,52457906176
2019-11-03,3206.71,3241.23,3132.27,3180.05,42816475136
2019-11-02,3174.46,3242.82,3158.21,3207.37,42865975296
2019-11-01,3160.98,3200.68,3110.48,3174.05,47663284224
2019-10-31,3167.95,3245.62,3079.28,3161.94,51255185408
2019-10-30,3231.04,3275.94,3094.73,3168.46,55363563520
2019-10-29,3151.08,3290.8,3131.13,3230.89,57890111488
2019-10-28,3195.78,3339.98,3107.59,3152.66,60988080128
2019-10-27,3063.74,3272.16,3000.82,3194.03,63838339072
2019-10-26,3021.28,3303.99,2938.53,3062.32,81716273152
2019-10-25,2691.43,3049.7,2667.3,3020.48,57405005824
2019-10-24,2657.93,2724.53,2623.63,2689.72,35004047360
2019-10-23,2834.63,2851.03,2593.19,2657.48,44832075776
2019-10-22,2885.32,2927.47,2822.99,2834.7,34943627264
2019-10-21,2858.06,2916.87,2826.26,2885.37,33937250304
2019-10-20,2801.97,2880.41,2767.07,2857.29,32555239424
2019-10-19,2800.9,2842.24,2771.55,2801.05,30185054208
2019-10-18,2857.54,2879.16,2754.87,2801.79,33976770560
2019-10-17,2800.77,2882.53,2769.25,2857.95,31695050752
2019-10-16,2862.41,2886.83,2749.32,2800.85,34929225728
2019-10-15,2928.2,2959.06,2829.18,2861.69,33795221504
2019-10-14,2869,2945.16,2851,2928.47,32049285120
2019-10-13,2850.76,2928.26,2826.02,2869.24,29446606848
2019-10-12,2853.91,2906.64,2823.13,2852.03,30717149184
2019-10-11,2929.88,2977.72,2829.44,2854,38750470144
2019-10-10,2974.25,2995.7,2877.9,2929.55,36678483968
2019-10-09,2857.06,3006.7,2825.06,2976.1,40035565568
2019-10-08,2849.03,2905.66,2805.89,2856.95,32978917376
2019-10-07,2723.39,2879.51,2692.77,2848.71,37498310656
2019-10-06,2764.97,2793.34,2691.38,2724.6,27291566080
2019-10-05,2774.5,2793.51,2717.84,2765.12,25765830656
2019-10-04,2751.44,2802.14,2715.51,2775.01,27801186304
2019-10-03,2800.96,2816.66,2701.22,2751.39,28247420928
2019-10-02,2771.21,2812.25,2721.13,2801.43,27796875264
2019-10-01,2786.52,2865.74,2728.68,2771.21,33077694464
2019-09-30,2680.25,2804.59,2608.12,2784.48,35302125568
2019-09-29,2752.21,2768.65,2643.82,2694.88,27789576192
2019-09-28,2754.04,2784.61,2702.58,2751.63,29831997440
2019-09-27,2692.23,2770.24,2625.06,2753.47,35146764288
2019-09-26,2780.23,2817.18,2575.8,2692.92,39050547200
2019-09-25,2743.07,2860.77,2662.99,2780.23,46629199872
2019-09-24,3235.52,3283.72,2643.91,2745.47,54255919104
2019-09-23,3381.89,3413.62,3224.72,3234.75,33726269440
2019-09-22,3446.56,3459.41,3326.75,3382.81,30869479424
2019-09-21,3497.23,3531.2,3422,3446.24,31496476672
2019-09-20,3541.52,3569.53,3436.78,3496.69,34474496000
2019-09-19,3558.95,3613.63,3359.45,3542.36,45514326016
2019-09-18,3427.16,3635.09,3412.1,3559.48,40081612800
2019-09-17,3332.64,3492.75,3307.09,3429.58,37867134976
2019-09-16,3318.86,3384.83,3267.64,3331.83,33321482240
2019-09-15,3307.86,3359.86,3280.47,3319.13,27395829760
2019-09-14,3260.73,3347.01,3229.99,3308.6,29756082176
2019-09-13,3260.75,3298.84,3202.95,3261.2,28685676544
2019-09-12,3227.88,3296.95,3173.05,3263.49,29908305920
2019-09-11,3259.11,3293.17,3167.37,3227.52,32433096704
2019-09-10,3314.17,3363.97,3224.88,3257.74,31192848384
2019-09-09,3341.35,3382.29,3234.15,3315.64,36261576704
2019-09-08,3297.42,3386.32,3270.77,3340.43,30435997696
2019-09-07,3192.16,3331.12,3171.71,3296.51,32564318208
2019-09-06,3255.54,3344.22,3157.4,3190.89,36034494464
2019-09-05,3276.29,3313.17,3207.69,3255.51,29074997248
2019-09-04,3323.31,3347.48,3241.79,3277.44,31279249408
2019-09-03,3283.13,3379.32,3248.34,3323.23,36462747648
2019-09-02,3166.37,3312.84,3132.26,3283.31,32751060992
2019-09-01,3147.12,3201.3,3101.3,3165.96,24723288064
2019-08-31,3144.62,3190.81,3093.04,3146.9,25518508032
2019-08-30,3122.83,3183.59,3075.82,3144.67,28135235584
2019-08-29,3221.82,3239.2,3067.83,3121.22,34972381184
2019-08-28,3427.61,3452.61,3194.84,3221.05,34985197568
2019-08-27,3473.32,3489.95,3377.29,3424.44,29747945472
2019-08-26,3430.56,3548.5,3409.59,3472.95,36196700160
2019-08-25,3466.37,3527.89,3384.5,3432.52,28807843840
2019-08-24,3522.03,3544.88,3393.62,3467.1,30790502400
2019-08-23,3460.01,3556.33,3422.35,3522.72,32383934464
2019-08-22,3396.67,3511.51,3312.62,3460.43,35941216256
2019-08-21,3563.77,3576.83,3321.14,3396.78,37703127040
2019-08-20,3644.15,3660.91,3516.41,3563.69,30176968704
2019-08-19,3534.49,3671.49,3501.56,3644.64,30807728128
2019-08-18,3430.63,3587.39,3393.84,3533.6,27820646400
2019-08-17,3448.1,3492.15,3370.39,3429.68,27123515392
2019-08-16,3477.43,3517.04,3325.3,3448.7,37185454080
2019-08-15,3411.39,3526.09,3258.38,3476.14,43941634048
2019-08-14,3731.45,3770.75,3383.78,3410.09,39492288512
2019-08-13,3819.37,3852.55,3675.04,3733.21,32014743552
2019-08-12,3890.47,3904.34,3797.64,3818.41,27854014464
2019-08-11,3784.4,3925.07,3760.8,3889.66,31729184768
2019-08-10,3821.34,3909.95,3711.41,3784.36,34909794304
2019-08-09,3957.41,3987.23,3769.43,3821.75,35433922560
2019-08-08,3986.98,4043.19,3847.96,3958.54,35454009344
2019-08-07,3935.17,4062.38,3877.23,3985.32,39081406464
2019-08-06,4094.53,4193.19,3873.69,3934.77,42051584000
2019-08-05,3927.82,4178.02,3914.68,4092.47,43698995200
